id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng,custom_geohash,lng_weather,lat_weather,avg_tmpr_f,avg_tmpr_c,wthr_date,avg_tmpr_f_weather,avg_tmpr_c_weather,wthr_date_weather,geohash_weather
257698037796,37,Cafe Crepe,26468,IT,Milan,45.533,9.171,45.533_9.171,,,,,,,,,
25769803831,56,The Waffle House,72230,FR,Paris,48.873,2.305,48.873_2.305,,,,,,,,,
85899345988,69,Dragonfly Cafe,18952,NL,Amsterdam,52.392,4.911,52.392_4.911,,,,,,,,,
111669149758,63,Cafe Paris,84488,NL,Amsterdam Zuidoost,52.31,4.942,52.31_4.942,,,,,,,,,
163208757268,21,The Lazy Daisy,96638,US,Columbus,40.115,-83.015,40.115_-83.015,,,,,,,,,
154618822662,7,Cafe Roma,41484,US,Tatum,33.382,-103.395,33.382_-103.395,,,,,,,,,
163208757290,43,The Food House,96638,IT,Milan,45.474,9.224,45.474_9.224,,,,,,,,,
266287972361,10,The Golden Spoon,11263,US,Marina,36.684,-121.792,36.684_-121.792,,,,,,,,,
171798691894,55,The Steak House,65939,GB,London,51.502,0.0,51.502_0.0,,,,,,,,,
197568495640,25,The Cozy Cafe,24784,US,Oskaloosa,41.324,-92.646,41.324_-92.646,,,,,,,,,
163208757306,59,Azalea Cafe,96638,FR,Paris,48.871,2.294,48.871_2.294,,,,,,,,,
42,43,The Food House,47732,AT,Vienna,48.163,16.34,48.163_16.34,,,,,,,,,
23,24,The Fisherman's Catch,47732,ES,Barcelona,41.396,2.163,41.396_2.163,,,,,,,,,
51539607572,21,The Lazy Daisy,6934,ES,Barcelona,41.387,2.174,41.387_2.174,,,,,,,,,
257698037775,16,The Spice Tree,26468,US,Morgantown,39.631,-79.956,39.631_-79.956,,,,,,,,,
188978561036,13,The Firehouse,3642,US,Atlantic Beach,34.701,-76.747,34.701_-76.747,,,,,,,,,
77309411367,40,Crimson Cafe,78190,AT,Vienna,48.213,16.357,48.213_16.357,,,,,,,,,
128849018902,23,The Hungry Pig,5679,ES,Barcelona,41.389,2.171,41.389_2.171,,,,,,,,,
223338299392,1,Savoria,36937,US,Washington,13.368,100.987,13.368_100.987,,,,,,,,,
103079215115,12,The Wooden Spoon,4340,US,Blythewood,34.214,-80.974,34.214_-80.974,,,,,,,,,
77309411392,65,Chef's Corner,78190,GB,Paddington,51.514,-0.177,51.514_-0.177,,,,,,,,,
25769803840,65,Chef's Corner,72230,GB,London,51.525,-0.077,51.525_-0.077,,,,,,,,,
8589934620,29,The Olive Branch,12630,US,Baraboo,43.479,-89.769,43.479_-89.769,,,,,,,,,
154618822685,30,The Wine Cellar,41484,US,Auburn,42.2,-71.841,42.2_-71.841,,,,,,,,,
249108103202,35,Basilica Bistro,55897,ES,Barcelona,41.396,2.182,41.396_2.182,,,,,,,,,
128849018940,61,Blue Water Bistro,5679,FR,Paris,48.879,2.285,48.879_2.285,,,,,,,,,
214748364840,41,The Daily Bread,92040,AT,Vienna,48.195,16.383,48.195_16.383,,,,,,,,,
34359738417,50,The Pancake House,50333,US,Irving,48.869,2.283,48.869_2.283,,,,,,,,,
257698037779,20,The Brasserie,26468,US,Laramie,41.325,-105.617,41.325_-105.617,,,,,,,,,
120259084320,33,The Blue Elephant,59829,US,Portland,47.939,1.893,47.939_1.893,,,,,,,,,
111669149715,20,The Brasserie,84488,US,Willows,39.527,-122.212,39.527_-122.212,,,,,,,,,
111669149699,4,The Blue Plate,84488,US,El Paso,31.776,-106.433,31.776_-106.433,,,,,,,,,
60129542195,52,The Red Door,71555,FR,Paris,48.872,2.326,48.872_2.326,,,,,,,,,
137438953522,51,The Pizzeria,11038,GB,London,51.501,-0.023,51.501_-0.023,,,,,,,,,
